                          R0000100    HIN_Endorsed0321   ROCU_Endorsed0321  DRSEE_Endorsed0308            NMI_B18
nbr.val          8961.000000000000  8025.0000000000000  8027.0000000000000  8150.0000000000000 8961.0000000000000
nbr.null            0.000000000000   199.0000000000000   362.0000000000000  1658.0000000000000 8852.0000000000000
nbr.na              0.000000000000   936.0000000000000   934.0000000000000   811.0000000000000    0.0000000000000
min                 1.000000000000     0.0000000000000     0.0000000000000     0.0000000000000    0.0000000000000
max              9022.000000000000    14.0000000000000    14.0000000000000     6.0000000000000   42.0000000000000
range            9021.000000000000    14.0000000000000    14.0000000000000     6.0000000000000   42.0000000000000
sum          40373741.000000000000 70902.0000000000000 57312.0000000000000 17517.0000000000000  694.0000000000000
median           4505.000000000000    10.0000000000000     7.0000000000000     2.0000000000000    0.0000000000000
mean             4505.495034036380     8.8351401869159     7.1399028279557     2.1493251533742    0.0774467135364
SE.mean            27.499637129187     0.0456359994035     0.0453052426359     0.0192463248513    0.0118319351354
CI.mean.0.95       53.905580198356     0.0894584093748     0.0888100368822     0.0377277071965    0.0231932998006
var           6776577.408485380933    16.7132216434808    16.4759393376783     3.0189313152956    1.2544924085721
std.dev          2603.186011118948     4.0881807253937     4.0590564590405     1.7375072130197    1.1200412530671
coef.var            0.577780242005     0.4627182635368     0.5685030394458     0.8083966310505   14.4620888598474
                         NA_B18           B18_INCAF          B18_ARREST        B18_NOARREST                JIJF
nbr.val      8958.0000000000000 8961.00000000000000 8961.00000000000000 8961.00000000000000 8961.00000000000000
nbr.null     7361.0000000000000 8852.00000000000000 7470.00000000000000 1600.00000000000000 8772.00000000000000
nbr.na          3.0000000000000    0.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000
min             0.0000000000000    0.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000
max            17.0000000000000    1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000
range          17.0000000000000    1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000
sum          3387.0000000000000  109.00000000000000 1491.00000000000000 7361.00000000000000  189.00000000000000
median          0.0000000000000    0.00000000000000    0.00000000000000    1.00000000000000    0.00000000000000
mean            0.3780977896852    0.01216382100212    0.16638767994643    0.82144849905145    0.02109139604955
SE.mean         0.0125275787756    0.00115803975675    0.00393449176339    0.00404592583957    0.00151799286912
CI.mean.0.95    0.0245569215973    0.00227002286201    0.00771250399760    0.00793094028102    0.00297561331309
var             1.4058705801425    0.01201720351683    0.13871830013391    0.14668723197347    0.02064885336458
std.dev         1.1856941343123    0.10962300633000    0.37244905709897    0.38299769186442    0.14369708892173
coef.var        3.1359456909268    9.01221797911116    2.23844131499926    0.46624674864788    6.81306673982874
                          HIN_97            Hispanic               White               Black              AIndian
nbr.val      7831.00000000000000 8938.00000000000000 8882.00000000000000 8882.00000000000000 8882.000000000000000
nbr.null     1110.00000000000000 7044.00000000000000 3659.00000000000000 6501.00000000000000 8821.000000000000000
nbr.na       1130.00000000000000   23.00000000000000   79.00000000000000   79.00000000000000   79.000000000000000
min             0.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000    0.000000000000000
max             1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000    1.000000000000000
range           1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000    1.000000000000000
sum          6721.00000000000000 1894.00000000000000 5223.00000000000000 2381.00000000000000   61.000000000000000
median          1.00000000000000    0.00000000000000    1.00000000000000    0.00000000000000    0.000000000000000
mean            0.85825565061933    0.21190422913403    0.58804323350597    0.26807025444720    0.006867822562486
SE.mean         0.00394167063659    0.00432278296834    0.00522275331975    0.00470032704504    0.000876359148423
CI.mean.0.95    0.00772672688418    0.00847364653964    0.01023780368299    0.00921372743205    0.001717866490731
var             0.12166842556673    0.16701951326174    0.24227566618605    0.19623068620214    0.006821423581093
std.dev         0.34881001357003    0.40868020904093    0.49221506090941    0.44297932931700    0.082591909900989
coef.var        0.40641738078663    1.92860808258068    0.83703889929109    1.65247475976213   12.025923667878496
                           Asian               Other                Male                AGE97               Sample
nbr.val      8882.00000000000000 8882.00000000000000 8961.00000000000000   8961.0000000000000  8961.00000000000000
nbr.null     8725.00000000000000 7822.00000000000000 4376.00000000000000      0.0000000000000     0.00000000000000
nbr.na         79.00000000000000   79.00000000000000    0.00000000000000      0.0000000000000     0.00000000000000
min             0.00000000000000    0.00000000000000    0.00000000000000     12.0000000000000     1.00000000000000
max             1.00000000000000    1.00000000000000    1.00000000000000     17.0000000000000     2.00000000000000
range           1.00000000000000    1.00000000000000    1.00000000000000      5.0000000000000     1.00000000000000
sum           157.00000000000000 1060.00000000000000 4585.00000000000000 128859.0000000000000 11193.00000000000000
median          0.00000000000000    0.00000000000000    1.00000000000000     14.0000000000000     1.00000000000000
mean            0.01767619905427    0.11934249043008    0.51166164490570     14.3799799129561     1.24907934382323
SE.mean         0.00139826935679    0.00344009261233    0.00528077719817      0.0156461014178     0.00456890236095
CI.mean.0.95    0.00274093113237    0.00674337665598    0.01035153145580      0.0306699383271     0.00895609391061
var             0.01736570619846    0.10511169464521    0.24989189264591      2.1936571870965     0.18705969917261
std.dev         0.13177900515050    0.32420933768973    0.49989188095618      1.4810999922681     0.43250398746440
coef.var        7.45516639329126    2.71662956354730    0.97699697824391      0.1029973616955     0.34625821778509
                           PIB16               BMEA97              BFEA97          RPHEALTH97               BBPHH
nbr.val      7690.00000000000000   8267.0000000000000  7102.0000000000000  7922.0000000000000 8961.00000000000000
nbr.null     7153.00000000000000      0.0000000000000     0.0000000000000     0.0000000000000 4580.00000000000000
