                          R0000100    HIN_Endorsed0321   ROCU_Endorsed0321  DRSEE_Endorsed0308            NMI_B18
nbr.val          8961.000000000000  8961.0000000000000  8961.0000000000000  8961.0000000000000 8961.0000000000000
nbr.null            0.000000000000   216.0000000000000   416.0000000000000  1871.0000000000000 8852.0000000000000
nbr.na              0.000000000000     0.0000000000000     0.0000000000000     0.0000000000000    0.0000000000000
min                 1.000000000000     0.0000000000000     0.0000000000000     0.0000000000000    0.0000000000000
max              9022.000000000000    14.0000000000000    14.0000000000000     6.0000000000000   42.0000000000000
range            9021.000000000000    14.0000000000000    14.0000000000000     6.0000000000000   42.0000000000000
sum          40373741.000000000000 79518.0000000000000 63500.0000000000000 19033.0000000000000  694.0000000000000
median           4505.000000000000    10.0000000000000     7.0000000000000     2.0000000000000    0.0000000000000
mean             4505.495034036380     8.8737864077670     7.0862626938958     2.1239816984712    0.0774467135364
SE.mean            27.499637129187     0.0430160733431     0.0428527633839     0.0182988942471    0.0118319351354
CI.mean.0.95       53.905580198356     0.0843213450608     0.0840012201783     0.0358700191841    0.0231932998006
var           6776577.408485380933    16.5812781726768    16.4556159528592     3.0005866443079    1.2544924085721
std.dev          2603.186011118948     4.0720115634262     4.0565522248406     1.7322201489152    1.1200412530671
coef.var            0.577780242005     0.4588809529900     0.5724529840440     0.8155532367167   14.4620888598474
                         NA_B18           B18_INCAF          B18_ARREST        B18_NOARREST                JIJF
nbr.val      8961.0000000000000 8961.00000000000000 8961.00000000000000 8961.00000000000000 8961.00000000000000
nbr.null     7363.0000000000000 8852.00000000000000 7470.00000000000000 1600.00000000000000 8772.00000000000000
nbr.na          0.0000000000000    0.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000
min             0.0000000000000    0.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000
max            17.0000000000000    1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000
range          17.0000000000000    1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000
sum          3389.0000000000000  109.00000000000000 1491.00000000000000 7361.00000000000000  189.00000000000000
median          0.0000000000000    0.00000000000000    0.00000000000000    1.00000000000000    0.00000000000000
mean            0.3781943979467    0.01216382100212    0.16638767994643    0.82144849905145    0.02109139604955
SE.mean         0.0125248346333    0.00115803975675    0.00393449176339    0.00404592583957    0.00151799286912
CI.mean.0.95    0.0245515413395    0.00227002286201    0.00771250399760    0.00793094028102    0.00297561331309
var             1.4057253555088    0.01201720351683    0.13871830013391    0.14668723197347    0.02064885336458
std.dev         1.1856328923865    0.10962300633000    0.37244905709897    0.38299769186442    0.14369708892173
coef.var        3.1349826936192    9.01221797911116    2.23844131499926    0.46624674864788    6.81306673982874
